Frame,Scheme,Cluster,Size,# all fragments,# protein fragments,# waters,Charge,Reactant IRC,dGact (kcal/mol),dGrxn (kcal/mol),TS path,TS method,TS E,TS E+ZPE,TS E+thrm E,TS H,TS G,TS Nbasis,TS Nimag,TS G kcal/mol,irc1 path,irc1 method,irc1 E,irc1 E+ZPE,irc1 E+thrm E,irc1 H,irc1 G,irc1 Nbasis,irc1 Nimag,irc1 G kcal/mol,irc2 path,irc2 method,irc2 E,irc2 E+ZPE,irc2 E+thrm E,irc2 H,irc2 G,irc2 Nbasis,irc2 Nimag,irc2 G kcal/mol
729,S7,activecluster3,184,16,9,7,0,irc2,8.37,-13.33,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f729/ts-729/,E(RB3LYP),-4118.561825,-4117.003445,-4116.920011,-4116.919067,-4117.122477,1044,NImag=1,-2583535.526,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f729/ts-729/irc2,E(RB3LYP),-4118.576487,-4117.015913,-4116.932317,-4116.931373,-4117.135821,1044,NImag=0,-2583543.899,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f729/ts-729/irc1,E(RB3LYP),-4118.596108,-4117.036134,-4116.951809,-4116.950864,-4117.157067,1044,NImag=0,-2583557.231
758,S3,random4a,190,17,10,7,0,irc1,8.14,-15.18,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f758/ts-758/,E(RB3LYP),-4251.355713,-4249.751159,-4249.666317,-4249.665373,-4249.870971,1082,NImag=1,-2666836.533,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f758/ts-758/irc1,E(RB3LYP),-4251.370543,-4249.763983,-4249.678857,-4249.677913,-4249.883947,1082,NImag=0,-2666844.676,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f758/ts-758/irc2,E(RB3LYP),-4251.392548,-4249.785995,-4249.700314,-4249.69937,-4249.90813,1082,NImag=0,-2666859.851
806,S4,random5a,213,17,11,6,0,irc1,9.15,-15.09,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f806/ts-806/,E(RB3LYP),-4768.987603,-4767.201578,-4767.108807,-4767.107862,-4767.329298,1222,NImag=1,-2991546.808,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f806/ts-806/irc1,E(RB3LYP),-4769.00476,-4767.216247,-4767.123416,-4767.122472,-4767.343874,1222,NImag=0,-2991555.954,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f806/ts-806/irc2,E(RB3LYP),-4769.026698,-4767.238786,-4767.145311,-4767.144367,-4767.367927,1222,NImag=0,-2991571.048
827,S7,activecluster3,178,17,11,6,0,irc1,10.43,-15.57,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f827/ts-827/,E(RB3LYP),-3965.656659,-3964.155324,-3964.074639,-3964.073695,-3964.27461,1008,NImag=1,-2487621.961,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f827/ts-827/irc1,E(RB3LYP),-3965.67417,-3964.171011,-3964.089966,-3964.089022,-3964.291237,1008,NImag=0,-2487632.394,/project/dwappett/CM-MD-250-set/opts/S7_activecluster3/f827/ts-827/irc2,E(RB3LYP),-3965.698028,-3964.194413,-3964.11295,-3964.112006,-3964.316053,1008,NImag=0,-2487647.966
929,S4,random5,234,17,11,6,1,irc1,13.05,-16.42,/project/dwappett/CM-MD-250-set/opts/S4_random5/f929/ts-929/,E(RB3LYP),-5023.523779,-5021.527678,-5021.42777,-5021.426825,-5021.660777,1313,NImag=1,-3151142.354,/project/dwappett/CM-MD-250-set/opts/S4_random5/f929/ts-929/irc1,E(RB3LYP),-5023.546573,-5021.548261,-5021.448425,-5021.447481,-5021.681579,1313,NImag=0,-3151155.408,/project/dwappett/CM-MD-250-set/opts/S4_random5/f929/ts-929/irc2,E(RB3LYP),-5023.574699,-5021.575096,-5021.475445,-5021.474501,-5021.707739,1313,NImag=0,-3151171.823
956,S4,random5,208,15,10,5,0,irc1,8.88,-15.28,/project/dwappett/CM-MD-250-set/opts/S4_random5/f956/ts-956/,E(RB3LYP),-4164.971154,-4163.209081,-4163.122051,-4163.121106,-4163.329042,1160,NImag=1,-2612530.607,/project/dwappett/CM-MD-250-set/opts/S4_random5/f956/ts-956/irc1,E(RB3LYP),-4164.986612,-4163.222494,-4163.13527,-4163.134326,-4163.343199,1160,NImag=0,-2612539.491,/project/dwappett/CM-MD-250-set/opts/S4_random5/f956/ts-956/irc2,E(RB3LYP),-4165.009488,-4163.245484,-4163.15772,-4163.156775,-4163.367554,1160,NImag=0,-2612554.774
970,S8,rincluster3,222,19,13,6,0,irc1,12.61,-18.15,/project/dwappett/CM-MD-250-set/opts/S8_rincluster3/f970/ts-970/,E(RB3LYP),-4886.890005,-4885.016063,-4884.916428,-4884.915484,-4885.150804,1261,NImag=1,-3065480.981,/project/dwappett/CM-MD-250-set/opts/S8_rincluster3/f970/ts-970/irc1,E(RB3LYP),-4886.914429,-4885.03768,-4884.938379,-4884.937435,-4885.1709,1261,NImag=0,-3065493.591,/project/dwappett/CM-MD-250-set/opts/S8_rincluster3/f970/ts-970/irc2,E(RB3LYP),-4886.94395,-4885.0664,-4884.967015,-4884.966071,-4885.19982,1261,NImag=0,-3065511.739
1000,S1,sampling,228,19,13,6,1,irc1,5.01,-19.51,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f1000/ts-1000/,E(RB3LYP),-4981.998745,-4980.065394,-4979.965624,-4979.96468,-4980.20042,1292,NImag=1,-3125125.566,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f1000/ts-1000/irc1,E(RB3LYP),-4982.009229,-4980.073391,-4979.973443,-4979.972499,-4980.208405,1292,NImag=0,-3125130.576,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f1000/ts-1000/irc2,E(RB3LYP),-4982.036828,-4980.101467,-4980.001002,-4980.000058,-4980.239495,1292,NImag=0,-3125150.086
1005,S7,activecluster2,225,21,14,7,0,irc2,8.46,-15.64,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1005/ts-1005/,E(RB3LYP),-4963.37175,-4961.46688,-4961.367581,-4961.366637,-4961.599539,1279,NImag=1,-3113453.327,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1005/ts-1005/irc2,E(RB3LYP),-4963.38338,-4961.477416,-4961.377475,-4961.376531,-4961.613025,1279,NImag=0,-3113461.789,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1005/ts-1005/irc1,E(RB3LYP),-4963.410389,-4961.503608,-4961.403565,-4961.402621,-4961.637949,1279,NImag=0,-3113477.429
1028,S3,random4,207,16,10,6,0,irc2,8.17,-16.1,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1028/ts-1028/,E(RB3LYP),-4599.073009,-4597.329214,-4597.23687,-4597.235926,-4597.457426,1179,NImag=1,-2884950.509,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1028/ts-1028/irc2,E(RB3LYP),-4599.090381,-4597.343387,-4597.251392,-4597.250448,-4597.470452,1179,NImag=0,-2884958.683,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1028/ts-1028/irc1,E(RB3LYP),-4599.114668,-4597.368152,-4597.275466,-4597.274522,-4597.496106,1179,NImag=0,-2884974.781
